-----------------------------------New Session-----------------------------------
2021-04-09 15:37:01,503 | INFO | discord.client | logging in using static token
2021-04-09 17:43:25,566 | WARNING | discord.http | We are being rate limited. Retrying in 3.26 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:43:26,453 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:27,731 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:29,027 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:30,332 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:30,762 | WARNING | discord.http | We are being rate limited. Retrying in 3.30 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:43:31,613 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:32,999 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:34,267 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:35,582 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:36,016 | WARNING | discord.http | We are being rate limited. Retrying in 3.28 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:43:36,846 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:38,214 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:39,505 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:40,048 | INFO | discord | Trying to stop spammer by: <@475597250819784704>
2021-04-09 17:43:40,776 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:41,260 | WARNING | discord.http | We are being rate limited. Retrying in 3.26 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:43:42,051 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:43,446 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:44,979 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:46,283 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:46,522 | WARNING | discord.http | We are being rate limited. Retrying in 3.23 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:43:47,619 | INFO | discord | Spam to id: <@!430677550600028161>
